batch,action_idx,action,Q,W
57200,14,"('hunt', 1, 2)",-6.027005672454834,-16.77158546447754
57200,15,"('hunt', 2, 0)",-9.093073844909668,-37.31959533691406
57200,16,"('hunt', 2, 1)",-6.954273223876953,-24.769485473632812
57200,17,"('hunt', 2, 2)",-4.220423698425293,-7.648728370666504
57200,18,"('expedition', 0, 0)",,
57400,0,"('wait', 0, 0)",-11.728559494018555,-44.75799560546875
57400,1,"('wait', 0, 1)",-8.914557456970215,-31.78651237487793
57400,2,"('wait', 0, 2)",-8.67002010345459,-31.04601287841797
57400,3,"('wait', 1, 0)",-9.661648750305176,-36.241981506347656
57400,4,"('wait', 1, 1)",-6.014225482940674,-17.28200340270996
57400,5,"('wait', 1, 2)",-6.391299724578857,-19.200807571411133
57400,6,"('wait', 2, 0)",-9.555879592895508,-39.70934295654297
57400,7,"('wait', 2, 1)",-6.78586483001709,-25.4023380279541
57400,8,"('wait', 2, 2)",-5.224491119384766,-11.574450492858887
57400,9,"('hunt', 0, 0)",-12.041736602783203,-44.98283004760742
57400,10,"('hunt', 0, 1)",-8.681035995483398,-29.627750396728516
57400,11,"('hunt', 0, 2)",-8.529403686523438,-29.818876266479492
57400,12,"('hunt', 1, 0)",-9.336241722106934,-34.201412200927734
57400,13,"('hunt', 1, 1)",-5.853566646575928,-15.644271850585938
57400,14,"('hunt', 1, 2)",-6.030006408691406,-16.734590530395508
57400,15,"('hunt', 2, 0)",-9.099347114562988,-37.309112548828125
57400,16,"('hunt', 2, 1)",-6.954273223876953,-24.769485473632812
57400,17,"('hunt', 2, 2)",-4.132476329803467,-7.596362590789795
57400,18,"('expedition', 0, 0)",,
57600,0,"('wait', 0, 0)",-11.755573272705078,-44.82562255859375
57600,1,"('wait', 0, 1)",-8.914557456970215,-31.78651237487793
57600,2,"('wait', 0, 2)",-8.679265022277832,-31.041629791259766
57600,3,"('wait', 1, 0)",-9.687019348144531,-36.319053649902344
57600,4,"('wait', 1, 1)",-6.014225482940674,-17.28200340270996
57600,5,"('wait', 1, 2)",-6.391299724578857,-19.200807571411133
57600,6,"('wait', 2, 0)",-9.555879592895508,-39.70934295654297
57600,7,"('wait', 2, 1)",-6.793188571929932,-25.412927627563477
57600,8,"('wait', 2, 2)",-5.24426794052124,-11.678407669067383
57600,9,"('hunt', 0, 0)",-12.041736602783203,-44.98283004760742
57600,10,"('hunt', 0, 1)",-8.681035995483398,-29.627750396728516
57600,11,"('hunt', 0, 2)",-8.547922134399414,-29.804012298583984
57600,12,"('hunt', 1, 0)",-9.336241722106934,-34.201412200927734
57600,13,"('hunt', 1, 1)",-5.853566646575928,-15.644271850585938
57600,14,"('hunt', 1, 2)",-6.032978057861328,-16.733867645263672
57600,15,"('hunt', 2, 0)",-9.099347114562988,-37.309112548828125
57600,16,"('hunt', 2, 1)",-6.977221488952637,-24.858367919921875
57600,17,"('hunt', 2, 2)",-4.210575103759766,-7.932868480682373
57600,18,"('expedition', 0, 0)",,
57800,0,"('wait', 0, 0)",-11.755573272705078,-44.82562255859375
57800,1,"('wait', 0, 1)",-8.919355392456055,-31.783044815063477
57800,2,"('wait', 0, 2)",-8.688438415527344,-31.03651237487793
57800,3,"('wait', 1, 0)",-9.69276237487793,-36.32265090942383
57800,4,"('wait', 1, 1)",-6.014225482940674,-17.28200340270996
57800,5,"('wait', 1, 2)",-6.395350933074951,-19.198524475097656
57800,6,"('wait', 2, 0)",-9.582140922546387,-39.78135681152344
57800,7,"('wait', 2, 1)",-6.793188571929932,-25.412927627563477
57800,8,"('wait', 2, 2)",-5.24426794052124,-11.678407669067383
57800,9,"('hunt', 0, 0)",-12.095276832580566,-45.11665344238281
57800,10,"('hunt', 0, 1)",-8.681035995483398,-29.627750396728516
57800,11,"('hunt', 0, 2)",-8.57177734375,-29.888111114501953
57800,12,"('hunt', 1, 0)",-9.336241722106934,-34.201412200927734
57800,13,"('hunt', 1, 1)",-5.8562750816345215,-15.644596099853516
57800,14,"('hunt', 1, 2)",-6.032978057861328,-16.733867645263672
57800,15,"('hunt', 2, 0)",-9.099347114562988,-37.309112548828125
57800,16,"('hunt', 2, 1)",-6.977221488952637,-24.858367919921875
57800,17,"('hunt', 2, 2)",-4.180009365081787,-8.198697090148926
57800,18,"('expedition', 0, 0)",,
58000,0,"('wait', 0, 0)",-11.755573272705078,-44.82562255859375
58000,1,"('wait', 0, 1)",-8.919355392456055,-31.783044815063477
58000,2,"('wait', 0, 2)",-8.688438415527344,-31.03651237487793
58000,3,"('wait', 1, 0)",-9.698478698730469,-36.326866149902344
58000,4,"('wait', 1, 1)",-6.014225482940674,-17.28200340270996
58000,5,"('wait', 1, 2)",-6.389660835266113,-19.110437393188477
58000,6,"('wait', 2, 0)",-9.5888032913208,-39.791664123535156
58000,7,"('wait', 2, 1)",-6.793188571929932,-25.412927627563477
58000,8,"('wait', 2, 2)",-5.244578838348389,-11.677450180053711
58000,9,"('hunt', 0, 0)",-12.095276832580566,-45.11665344238281
58000,10,"('hunt', 0, 1)",-8.689531326293945,-29.650331497192383
58000,11,"('hunt', 0, 2)",-8.580328941345215,-29.85352325439453
58000,12,"('hunt', 1, 0)",-9.360883712768555,-34.280059814453125
58000,13,"('hunt', 1, 1)",-5.857625961303711,-15.662315368652344
58000,14,"('hunt', 1, 2)",-6.034449100494385,-16.750633239746094
58000,15,"('hunt', 2, 0)",-9.099347114562988,-37.309112548828125
58000,16,"('hunt', 2, 1)",-6.999942779541016,-24.94620704650879
58000,17,"('hunt', 2, 2)",-4.121486186981201,-7.747686386108398
58000,18,"('expedition', 0, 0)",,
58200,0,"('wait', 0, 0)",-11.770156860351562,-44.841224670410156
58200,1,"('wait', 0, 1)",-8.919355392456055,-31.783044815063477
58200,2,"('wait', 0, 2)",-8.692983627319336,-31.033843994140625
58200,3,"('wait', 1, 0)",-9.698478698730469,-36.326866149902344
58200,4,"('wait', 1, 1)",-6.014225482940674,-17.28200340270996
58200,5,"('wait', 1, 2)",-6.381979465484619,-19.024295806884766
58200,6,"('wait', 2, 0)",-9.614720344543457,-39.862613677978516
58200,7,"('wait', 2, 1)",-6.796789169311523,-25.41809844970703
58200,8,"('wait', 2, 2)",-5.2447333335876465,-11.676836967468262
58200,9,"('hunt', 0, 0)",-12.095276832580566,-45.11665344238281
58200,10,"('hunt', 0, 1)",-8.689531326293945,-29.650331497192383
58200,11,"('hunt', 0, 2)",-8.580328941345215,-29.85352325439453
58200,12,"('hunt', 1, 0)",-9.36612606048584,-34.29719543457031
58200,13,"('hunt', 1, 1)",-5.857625961303711,-15.662315368652344
58200,14,"('hunt', 1, 2)",-6.035912990570068,-16.733293533325195
58200,15,"('hunt', 2, 0)",-9.099347114562988,-37.309112548828125
58200,16,"('hunt', 2, 1)",-7.003314018249512,-24.971052169799805
58200,17,"('hunt', 2, 2)",-4.097285747528076,-8.614043235778809
58200,18,"('expedition', 0, 0)",,
58400,0,"('wait', 0, 0)",-11.770156860351562,-44.841224670410156
58400,1,"('wait', 0, 1)",-8.919355392456055,-31.783044815063477
58400,2,"('wait', 0, 2)",-8.692983627319336,-31.033843994140625
58400,3,"('wait', 1, 0)",-9.704123497009277,-36.33087158203125
58400,4,"('wait', 1, 1)",-6.00632381439209,-17.198938369750977
58400,5,"('wait', 1, 2)",-6.381979465484619,-19.024295806884766
58400,6,"('wait', 2, 0)",-9.614720344543457,-39.862613677978516
58400,7,"('wait', 2, 1)",-6.796789169311523,-25.41809844970703
58400,8,"('wait', 2, 2)",-5.244886875152588,-11.676858901977539
58400,9,"('hunt', 0, 0)",-12.095276832580566,-45.11665344238281
58400,10,"('hunt', 0, 1)",-8.689531326293945,-29.650331497192383
58400,11,"('hunt', 0, 2)",-8.6079740524292,-29.946945190429688
58400,12,"('hunt', 1, 0)",-9.386155128479004,-34.27304458618164
58400,13,"('hunt', 1, 1)",-5.858967304229736,-15.680087089538574
58400,14,"('hunt', 1, 2)",-6.037357807159424,-16.717042922973633
58400,15,"('hunt', 2, 0)",-9.099347114562988,-37.309112548828125
58400,16,"('hunt', 2, 1)",-7.003314018249512,-24.971052169799805
58400,17,"('hunt', 2, 2)",-4.130159854888916,-8.451828002929688
58400,18,"('expedition', 0, 0)",,
58600,0,"('wait', 0, 0)",-11.796475410461426,-44.90700149536133
58600,1,"('wait', 0, 1)",-8.943191528320312,-31.86358642578125
58600,2,"('wait', 0, 2)",-8.697469711303711,-31.031383514404297
58600,3,"('wait', 1, 0)",-9.704123497009277,-36.33087158203125
58600,4,"('wait', 1, 1)",-6.008023738861084,-17.200660705566406
58600,5,"('wait', 1, 2)",-6.381979465484619,-19.024295806884766
58600,6,"('wait', 2, 0)",-9.62128734588623,-39.872806549072266
58600,7,"('wait', 2, 1)",-6.803919315338135,-25.426424026489258
58600,8,"('wait', 2, 2)",-5.245192050933838,-11.67642879486084
58600,9,"('hunt', 0, 0)",-12.128634452819824,-45.199951171875
58600,10,"('hunt', 0, 1)",-8.689531326293945,-29.650331497192383
58600,11,"('hunt', 0, 2)",-8.63131046295166,-30.029003143310547
58600,12,"('hunt', 1, 0)",-9.386155128479004,-34.27304458618164
58600,13,"('hunt', 1, 1)",-5.858967304229736,-15.680087089538574
58600,14,"('hunt', 1, 2)",-6.0388054847717285,-16.73358726501465
58600,15,"('hunt', 2, 0)",-9.099347114562988,-37.309112548828125
58600,16,"('hunt', 2, 1)",-7.003314018249512,-24.971052169799805
58600,17,"('hunt', 2, 2)",-4.087152481079102,-8.20695686340332
58600,18,"('expedition', 0, 0)",,
58800,0,"('wait', 0, 0)",-11.796475410461426,-44.90700149536133
58800,1,"('wait', 0, 1)",-8.94786262512207,-31.86154556274414
58800,2,"('wait', 0, 2)",-8.701923370361328,-31.028656005859375
58800,3,"('wait', 1, 0)",-9.71530818939209,-36.34056091308594
58800,4,"('wait', 1, 1)",-6.0259175300598145,-17.219255447387695
58800,5,"('wait', 1, 2)",-6.4029083251953125,-19.117448806762695
58800,6,"('wait', 2, 0)",-9.62128734588623,-39.872806549072266
58800,7,"('wait', 2, 1)",-6.807459831237793,-25.43100929260254
58800,8,"('wait', 2, 2)",-5.2454938888549805,-11.674637794494629
58800,9,"('hunt', 0, 0)",-12.128634452819824,-45.199951171875
58800,10,"('hunt', 0, 1)",-8.689531326293945,-29.650331497192383
58800,11,"('hunt', 0, 2)",-8.63550853729248,-30.01166534423828
58800,12,"('hunt', 1, 0)",-9.391298294067383,-34.28812026977539
58800,13,"('hunt', 1, 1)",-5.861604690551758,-15.6461763381958
58800,14,"('hunt', 1, 2)",-6.0388054847717285,-16.73358726501465
58800,15,"('hunt', 2, 0)",-9.099347114562988,-37.309112548828125
58800,16,"('hunt', 2, 1)",-7.006639003753662,-24.995378494262695
58800,17,"('hunt', 2, 2)",-4.159219741821289,-8.344541549682617
58800,18,"('expedition', 0, 0)",,
59000,0,"('wait', 0, 0)",-11.796475410461426,-44.90700149536133
59000,1,"('wait', 0, 1)",-8.97143268585205,-31.941064834594727
59000,2,"('wait', 0, 2)",-8.701923370361328,-31.028656005859375
59000,3,"('wait', 1, 0)",-9.720853805541992,-36.34537887573242
59000,4,"('wait', 1, 1)",-6.049889087677002,-17.31605339050293
59000,5,"('wait', 1, 2)",-6.404844284057617,-19.1166934967041
59000,6,"('wait', 2, 0)",-9.62128734588623,-39.872806549072266
59000,7,"('wait', 2, 1)",-6.81098747253418,-25.435518264770508
59000,8,"('wait', 2, 2)",-5.2454938888549805,-11.674637794494629
59000,9,"('hunt', 0, 0)",-12.128634452819824,-45.199951171875
59000,10,"('hunt', 0, 1)",-8.697835922241211,-29.67317008972168
59000,11,"('hunt', 0, 2)",-8.63550853729248,-30.01166534423828
59000,12,"('hunt', 1, 0)",-9.391298294067383,-34.28812026977539
59000,13,"('hunt', 1, 1)",-5.861604690551758,-15.6461763381958
59000,14,"('hunt', 1, 2)",-6.041675567626953,-16.765209197998047
59000,15,"('hunt', 2, 0)",-9.099347114562988,-37.309112548828125
59000,16,"('hunt', 2, 1)",-7.009950637817383,-25.019182205200195
59000,17,"('hunt', 2, 2)",-4.051929473876953,-7.759744167327881
59000,18,"('expedition', 0, 0)",,
59200,0,"('wait', 0, 0)",-11.80360221862793,-44.91440963745117
59200,1,"('wait', 0, 1)",-8.97143268585205,-31.941064834594727
